pl_eff	ind_tx	ind_rx	tx_elem_gain	rx_elem_gain	tx_bf	rx_bf	aod_theta	aod_phi	aoa_theta	aoa_phi	pl_min	im	BS_type	link_state	SNR
71.82742303689902	0	0	3.8993188229652906	1.7591361	29.228453378997727	29.228453378997727	15.267478942871094	-26.698848724365234	-15.267478942871094	153.3011474609375	106.7143325805664	0	0	1.0	33.151977049821355
72.21085644335678	0	0	3.2256689965898984	3.0590647	29.38528656881746	29.38528656881746	12.232925415039062	27.098520278930664	-12.232925415039062	-152.90147399902344	107.88087463378906	0	0	1.0	32.7685436433636
75.5841476722781	0	0	2.189293921081978	-0.80264696	29.537046860160423	29.537046860160423	10.96240234375	-32.791709899902344	-10.96240234375	147.2082977294922	106.50784301757812	0	0	1.0	29.395252414442268
67.66601439398907	0	0	2.6364023311835547	2.5532351	29.47302546690237	29.47302546690237	31.257797241210938	3.796480655670166	-31.257797241210938	-176.20352172851562	102.32868194580078	0	1	1.0	37.31338569273129
76.33717941886867	0	0	6.19225159119039	2.5671387	17.27316445685533	17.27316445685533	25.65184783935547	19.71983528137207	-25.65184783935547	-160.28016662597656	102.39640045166016	0	0	1.0	28.642220667851703
82.0705825323842	0	0	1.9734764326227134	-1.3690271	28.73525271690349	28.73525271690349	6.194770812988281	-25.639097213745117	-6.194770812988281	154.36090087890625	111.41029357910156	0	0	1.0	22.90881755433618
77.36616697290351	0	0	0.3822883866822826	3.1494304	22.81753575648849	22.81753575648849	25.90483856201172	33.35317611694336	-25.90483856201172	-146.64682006835938	103.71805572509766	0	1	1.0	27.61323311381686
57.264228023938635	1	0	7.412807889632842	4.3659892	24.90862149744303	24.90862149744303	52.74467086791992	138.46815490722656	-52.74467468261719	-41.531837463378906	93.95172119140625	0	0	1.0	47.71517206278173
71.72815705509196	0	0	-0.6546979322257904	3.4617537	25.205333491567284	25.205333491567284	42.3680534362793	8.211094856262207	-42.36805725097656	-171.78890991210938	99.74818420410156	0	1	1.0	33.25124303162842
77.63143702503564	0	0	5.499588841636732	4.0886858	14.726090397686619	14.726090397686619	12.287742614746094	16.61871337890625	-24.137413024902344	-134.97787475585938	106.1445083618164	1	1	1.0	27.347963061684737
70.83794026382495	1	0	1.2000069560911282	1.6815996	27.341437117302902	27.341437117302902	36.65221405029297	124.640869140625	-36.65221405029297	-55.359130859375	101.06151580810547	0	1	1.0	34.14145982289543
76.24019419988353	1	0	3.8214604479802077	4.6474713	16.567481026583796	16.567481026583796	19.413619995117188	141.09625244140625	-61.99497985839844	25.594221115112305	100.30046081542969	1	1	1.0	28.739205886836842
76.30683270504478	1	0	4.338411781481032	3.28993	17.94427495579626	17.94427495579626	20.697433471679688	88.64086151123047	-20.697433471679688	-91.35913848876953	102.0093765258789	0	0	1.0	28.67256738167559
70.12530764195698	0	0	7.126047404536433	4.2323718	18.233600276037315	18.233600276037315	36.03416061401367	19.883668899536133	-36.03416442871094	-160.1163330078125	99.7326889038086	0	0	1.0	34.854092444763396
77.67601829906627	1	0	4.810860396952495	-0.72613659	29.35015409123104	29.35015409123104	10.771049499511719	95.91238403320312	-10.771049499511719	-84.08761596679688	111.11090087890625	0	1	1.0	27.303381787654104
73.44041152753279	0	0	3.937149650363703	2.4818446	22.727407108204176	22.727407108204176	24.605850219726562	-8.945512771606445	-24.605850219726562	171.0544891357422	104.13558959960938	0	1	1.0	31.538988559187587
78.97217341083397	1	0	-3.9227403939115817	1.7236218	25.177038173612893	25.177038173612893	32.36299133300781	164.00665283203125	-32.36299133300781	-15.993339538574219	101.95361328125	0	1	1.0	26.0072266758864
75.97014731829293	0	0	0.5388846897937842	3.3820876	20.877708561726383	20.877708561726383	37.98834228515625	10.020920753479004	-37.98834228515625	-169.9790802001953	100.76882934570312	0	1	1.0	29.009252768427444
72.07908091354601	0	0	-1.2676843388557586	4.2031564	29.30079465192487	29.30079465192487	24.16687774658203	42.22736358642578	-24.16687774658203	-137.7726287841797	104.3154525756836	0	1	1.0	32.90031917317437
72.20873909655366	0	0	2.8583451555398725	4.3101723	20.894288519385118	20.894288519385118	22.932144165039062	44.54508972167969	-22.932144165039062	-135.4549102783203	100.27716064453125	0	0	1.0	32.77066099016672
70.92887334202874	0	0	5.419717432899764	2.0714455	28.138441874403952	28.138441874403952	17.974220275878906	-3.0373694896698	-17.974220275878906	176.96263122558594	106.55847930908203	0	1	1.0	34.05052674469164
70.15636727965304	1	0	4.5168955083191396	2.0485827	28.53254251196301	28.53254251196301	21.516883850097656	110.3590316772461	-21.516883850097656	-69.6409683227539	105.25438690185547	0	1	1.0	34.823032807067335
82.2621468289208	1	0	4.7562620043628	-4.5634539	26.99095573202068	26.99095573202068	12.6802978515625	142.5162811279297	-12.6802978515625	-37.48371887207031	109.44651794433594	0	1	1.0	22.71725325779957
69.60475873111292	2	0	7.350749164817072	1.5509733	19.19073837974743	19.19073837974743	35.496063232421875	-135.418701171875	-35.496063232421875	44.58129119873047	97.69727325439453	0	0	1.0	35.37464135560745
71.63405443548062	1	0	1.572372157908755	3.6362426	24.9969310954702	24.9969310954702	18.752151489257812	72.51252746582031	-18.752151489257812	-107.48747253417969	101.84046936035156	0	0	1.0	33.345345651239754
73.00160902935842	1	0	3.780490920741177	1.9505886	29.129221097110882	29.129221097110882	15.589576721191406	93.90464782714844	-15.589576721191406	-86.09535217285156	107.8619155883789	0	1	1.0	31.977791057361955
